tarih,yhat,yhat_lower,yhat_upper
2026-01-31 21:00:00,198.62551244829214,196.56243991136603,200.69583628982318
2026-02-28 21:00:00,202.386903100924,200.3658845775461,204.39992298916394
2026-03-31 21:00:00,206.0088703924701,203.95589458698885,208.24382349777872
2026-04-30 21:00:00,210.06421980613842,207.82841655351282,212.37131203747242
2026-05-31 21:00:00,213.69630760469005,211.4984918241116,215.7201907247625
2026-06-30 21:00:00,217.5281916143922,215.28457741200828,219.8541936136735
2026-07-31 21:00:00,221.9588446461938,219.78265957886327,224.65909604967902
2026-08-31 21:00:00,225.87182002691853,223.38347506951766,228.70361121227228
2026-09-30 21:00:00,229.52885903727073,226.72555010411523,232.56801979692193
2026-10-31 21:00:00,232.79184482299007,229.69740675504,236.2134987963251
2026-11-30 21:00:00,236.0316014642955,232.81070834684095,239.45752550675192
2026-12-31 21:00:00,240.1007484227515,236.5032520985605,244.10934501155293
2027-01-31 21:00:00,244.84075398451222,241.04593507901635,249.1968976605894
2027-02-28 21:00:00,248.4625913097477,243.745720123366,253.26772207176464
2027-03-31 21:00:00,252.216545898621,247.75779238302968,257.4013804740671
2027-04-30 21:00:00,255.98849604621842,250.83753673650835,261.8671367996881
2027-05-31 21:00:00,259.2716886333441,253.78924044584855,265.6100956450166
2027-06-30 21:00:00,263.68190237347335,257.84828483088796,270.91427316120803
2027-07-31 21:00:00,267.9020024086438,261.44622756586926,275.76134562034565
2027-08-31 21:00:00,272.0910600481864,265.2881015298576,280.11137987131593
2027-09-30 21:00:00,275.8277524128506,268.63076226081176,284.29900275686396
2027-10-31 21:00:00,278.52624344108045,270.8229762476421,288.0201731706222
2027-11-30 21:00:00,281.9246479592496,273.6312007960286,291.5268311701936
2027-12-31 21:00:00,285.85922814798437,276.6917261229942,296.49912495835514
